Zip,Median Total,Median  Owner occupied,Median  Renter occupied
93224,52163.28,32917,36250
93225,61273.68,43456,26686
93226,51675.0,49167,24167
93230,56779.32,48407,23522
93234,37408.8,32578,17105
93235,40393.08,32238,16864
93238,44772.0,31719,22361
93239,39243.36,42917,20931
93240,34759.92,22724,21333
93241,38530.44,29444,19628
93242,54780.96,36865,26734
93243,62768.16,42333,35438
93244,48750.0,33750,20625
93245,60364.200000000004,54794,28534
93247,43851.6,34286,21370
93249,46254.0,31923,27589
93250,38703.6,31322,17946
93251,75075.0,39792,53750
93252,46492.68,36797,22656
93254,56116.32,40417,29375
93255,27749.280000000002,19342,9583
93256,35178.0,30337,16544
93257,47514.48,40956,19932
93260,46800.0,30417,24375
93261,34020.48,26719,18203
93262,72150.0,0,46250
93263,45530.16,36921,20752
93265,62963.16,49457,19931
93266,44013.840000000004,29844,26154
93267,44803.200000000004,34487,21306
93268,49074.48,39682,18011
93270,43647.24,34223,20327
93271,67228.2,47634,34688
93272,43800.12,34167,25278
93274,52188.240000000005,42373,24051
93276,33540.0,17292,28438
93277,66931.8,53481,26230
93280,45444.36,38156,21943
93282,44199.48,27917,32917
93283,31969.08,26106,15461
93285,36928.32,24310,16250
93286,42572.4,33828,19888
93287,51999.48,49375,12188
93291,54897.96,45614,24943
93292,65981.76000000001,50862,25210
932HH,0.0,0,0
93301,39647.4,43906,19095
93304,43854.72,37351,19582
93305,37636.56,33395,17963
93306,60286.200000000004,48799,25602
93307,40669.200000000004,32427,17611
93308,51281.880000000005,47364,21701
93309,61838.4,54933,26387
93311,93729.48000000001,70000,35163
93312,95682.6,64100,41602
93313,77973.48,52238,31173
933HH,0.0,0,0
933XX,0.0,0,0
93401,58169.28,61275,24644
93402,72212.40000000001,56542,30320
93405,46957.560000000005,63029,17102
93420,77691.12000000001,57235,31566
93422,76558.56,58992,29439
93424,59893.08,47083,26389
93426,67356.12,48393,31429
93427,76538.28,53787,44792
93428,69669.6,48849,36705
93429,45630.0,38750,27361
93430,66699.36,49926,33681
93432,79121.64,51938,33889
93433,59063.16,48313,32218
93434,48715.68,44583,22288
93435,0.0,0,0
93436,65117.520000000004,54344,29418
93437,59627.880000000005,40156,37712
93440,74316.84,53000,28125
93441,94692.0,75000,40500
93442,53664.0,43305,27179
93444,76026.6,54537,32337
93445,56890.08,41993,30875
93446,66239.16,51748,29667
93447,0.0,0,0
93449,72455.76000000001,51660,32823
93450,47667.36,35000,27000
93451,61704.240000000005,46775,25326
93452,66607.32,62813,29931
93453,68338.92,50714,31929
93454,61025.64,50152,26040
93455,83709.6,57094,42188
93458,50643.840000000004,41977,26109
93460,106502.76000000001,81009,40139
93461,55702.920000000006,39531,29167
93463,83310.24,72768,34667
93465,81455.40000000001,58580,33750
934HH,0.0,0,0
93501,47834.28,39781,18125
93505,70296.72,54161,24568
93510,104220.48000000001,71176,33958
93512,36616.32,23281,25000
93513,53578.200000000004,36731,26696
93514,59685.6,45926,26675
93516,62838.36,47857,15066
93517,56610.840000000004,46125,24792
93518,47723.520000000004,31719,27250
93522,20893.08,16667,5417
93523,57330.0,41116,36013
93526,60804.12,40556,34375
93527,57974.28,50083,18333
93528,33986.16,28889,"2,500-"
93529,74772.36,49655,16136
93530,30420.0,19125,21250
93531,88887.24,57917,53125
93532,80600.52,60172,32115
93534,47575.32,43533,22527
93535,61487.4,45327,26348
93536,83625.36,63997,26556
93541,68111.16,46094,39000
93543,69044.04000000001,50775,24483
93544,69668.04000000001,47589,18125
93545,43070.04,36190,17885
93546,72327.84,58516,32199
93549,51675.0,28125,35000
93550,58592.04,48849,21953
93551,106062.84,72040,47450
93552,78223.08,53627,35000
93553,45871.8,42031,17500
93554,74588.28,47813,0
93555,71731.92,56503,27446
93560,65889.72,51126,26696
93561,74026.68000000001,57078,23177
93562,54156.96,42200,23750
93563,129356.76000000001,74821,98156
93591,62952.240000000005,42801,27237
935HH,0.0,0,0
935XX,56550.0,37563,23750
93601,59417.28,43636,30313
93602,65520.0,46645,26136
93603,34970.520000000004,50469,17813
93604,52812.240000000005,35000,27321
93605,93600.0,36667,61250
93606,51837.240000000005,34479,28333
93608,46605.0,30313,26908
93609,52701.48,41295,23043
93610,49007.4,39239,25015
93611,99648.12000000001,69700,37701
93612,47601.840000000004,41407,24447
93614,68693.04000000001,45578,38333
93615,39000.0,31313,18833
93616,48750.0,40625,19167
93618,49701.6,37595,22322
93620,44399.16,35542,20771
93621,26557.440000000002,31667,15119
93622,44238.48,35692,23030
93623,39488.28,25313,0
93624,50102.520000000004,41250,31854
93625,55010.28,51071,20321
93626,62997.48,40875,39318
93627,29250.0,"2,500-",19792
93628,64740.0,70114,30893
93630,46906.08,37893,19827
93631,62946.0,50720,23680
93634,71175.0,28750,57500
93635,66476.28,52166,26731
93637,57643.560000000005,46357,26365
93638,54539.16,44169,20068
93640,37530.48,28250,21089
93641,49296.0,33854,6328
93643,55175.64,37799,22083
93644,54228.72,38828,26250
93645,141766.56,95641,8750
93646,35544.6,34216,17943
93647,44230.68,34565,19930
93648,40166.880000000005,31493,17653
93650,34482.24,28173,19622
93651,65418.600000000006,46719,25536
93652,48425.520000000004,39375,21000
93653,61620.0,40962,35000
93654,54428.4,46090,21802
93656,48581.520000000004,34511,24707
93657,56957.16,44245,26484
93660,37440.0,31957,18750
93662,54749.76,42142,22306
93664,71370.0,53958,28594
93665,19337.760000000002,12917,12132
93666,45500.520000000004,31389,20000
93667,79299.48,53611,32656
93668,53206.92,49038,22875
93669,81120.0,58214,36071
93673,36833.16,26250,18125
93675,61357.920000000006,46786,27250
936HH,0.0,0,0
936XX,0.0,0,0
93701,23094.24,30500,12566
93702,32873.880000000005,30696,16749
93703,39790.92,34480,18590
93704,56832.36,48008,24816
93705,47079.240000000005,39061,19461
